TIME,DC0,DC1,DC2,DC3,LINK0,LINK1,LINK2,LINK3,LINK4,LINK5,
1,0.000000,2.540094,0.000000,0.000000,2.000039,2.000020,2.000020,2.000020,2.000000,2.000000,
2,0.000000,2.540094,0.000000,0.000000,2.000000,2.000059,2.000039,2.000039,2.000020,2.000020,
3,0.000000,2.540094,0.000000,2.540094,2.000020,2.000078,2.000000,2.000000,2.000039,2.000039,
