TIME,DC0,DC1,DC2,DC3,LINK0,LINK1,LINK2,LINK3,LINK4,LINK5,
1,5.370048,0.000000,0.000000,0.000000,2.000120,2.000120,2.000001,2.000001,2.000000,2.000000,
2,5.370048,0.000000,0.000000,0.000000,2.000000,2.000000,2.000120,2.000120,2.000001,2.000001,
3,5.370048,0.000000,0.000000,6.740360,2.000100,2.000100,2.000000,2.000000,2.000021,2.000101,
