TIME,DC0,DC1,DC2,DC3,DC4,DC5,DC6,LINK0,LINK1,LINK2,LINK3,LINK4,LINK5,LINK6,LINK7,LINK8,LINK9,
0,0.000000,0.000000,1.000000,1.000000,0.000000,1.000000,0.000000,2.000000,0.000000,2.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,
1,0.000000,0.000000,0.000000,2.000000,2.000000,0.000000,0.000000,0.000000,0.000000,6.000000,2.000000,2.000000,2.000000,2.000000,0.000000,0.000000,2.000000,
2,0.000000,0.000000,0.000000,1.000000,2.000000,1.000000,0.000000,2.000000,2.000000,2.000000,0.000000,2.000000,4.000000,2.000000,0.000000,0.000000,2.000000,
3,0.000000,0.000000,0.000000,1.000000,4.000000,0.000000,1.000000,2.000000,2.000000,4.000000,2.000000,4.000000,2.000000,2.000000,4.000000,2.000000,4.000000,
