,<,A1,>,<,A0,>,<,A3,>,<,A2,>,<,A4,>,
TIME,MEAN,MAX,MIN,MEAN,MAX,MIN,MEAN,MAX,MIN,MEAN,MAX,MIN,MEAN,MAX,MIN,
0,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,,,,,,,
1,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,6.000000,8.000000,4.000000,,,,,,,
2,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,6.000000,8.000000,4.000000,,,,,,,
3,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,6.000000,8.000000,4.000000,,,,,,,
