Time,App,DC
0,A0,DC2
0,A1,DC3
0,A2,DC5
1,A0,DC3
1,A1,DC3
1,A2,DC5
2,A0,DC5
2,A1,DC3
2,A2,DC5
3,A0,DC6
3,A1,DC3
3,A2,DC4
