TIME,DC0,DC1,DC2,DC3,LINK0,LINK1,LINK2,LINK3,LINK4,LINK5,
1,6.490060,0.000000,0.000000,0.000000,2.000101,2.000101,2.000002,2.000002,2.000022,2.000022,
2,7.580095,0.000000,0.000000,0.000000,2.000101,2.000101,2.000022,2.000022,2.000122,2.000122,
3,7.580095,0.000000,0.000000,8.600479,2.000121,2.000121,2.000001,2.000001,2.000022,2.000243,
