TIME,DC0,DC1,DC2,DC3,DC4,DC5,DC6,DC7,DC8,DC9,LINK0,LINK1,LINK10,LINK11,LINK12,LINK13,LINK14,LINK2,LINK3,LINK4,LINK5,LINK6,LINK7,LINK8,LINK9,
1,7.090085,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000200,2.000200,0.000000,0.000000,0.000000,0.000000,0.000000,2.000020,2.000020,2.000220,2.000000,2.000000,0.000000,0.000000,2.000000,
2,7.090085,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000200,2.000200,2.000200,2.000020,2.000020,0.000000,0.000000,2.000020,
3,7.090085,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000100,2.000100,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,2.000000,2.000100,2.000120,2.000120,0.000000,0.000000,2.000120,
