TIME,DC0,DC1,DC2,DC3,DC4,DC5,DC6,DC7,DC8,DC9,LINK0,LINK1,LINK10,LINK11,LINK12,LINK13,LINK14,LINK2,LINK3,LINK4,LINK5,LINK6,LINK7,LINK8,LINK9,
24,0.000000,2703.179849,2702.823704,1310.767684,1525.373152,0.000000,0.000000,11831.292758,0.000000,7063.081230,2.137540,2.156332,2.144512,2.144512,2.286350,2.280220,2.600016,2.162309,2.211802,2.420599,2.179215,2.179215,2.132212,2.132212,2.318826,
25,0.000000,2705.081132,2842.395719,1337.455238,1535.726203,0.000000,0.000000,11722.224484,0.000000,7209.770023,2.137628,2.159137,2.144963,2.144963,2.290491,2.279208,2.598190,2.161033,2.212563,2.421778,2.180123,2.180123,2.130363,2.130363,2.317948,
26,0.000000,2738.519856,2831.325651,1320.685334,1539.413285,0.000000,0.000000,11768.612074,0.000000,7309.295913,2.134178,2.157433,2.143623,2.143623,2.292895,2.279053,2.600753,2.167896,2.217440,2.427409,2.181464,2.181464,2.132710,2.132710,2.321750,
27,0.000000,2706.592196,2895.044046,1334.296931,1519.828500,0.000000,0.000000,11555.748004,0.000000,7354.584787,2.134566,2.159530,2.141424,2.141424,2.293329,2.277888,2.593526,2.158454,2.208294,2.419871,2.185404,2.185404,2.129417,2.129417,2.322307,
28,0.000000,2627.596013,2944.085689,1330.968883,1531.418987,0.000000,0.000000,11731.372023,0.000000,7247.615100,2.136808,2.162560,2.140353,2.140353,2.293790,2.274167,2.596832,2.161583,2.212636,2.427811,2.185347,2.185347,2.128384,2.128384,2.321221,
29,0.000000,2648.261565,2946.809936,1334.923929,1542.065279,0.000000,0.000000,11597.438107,0.000000,7360.926044,2.132261,2.158503,2.135829,2.135829,2.298491,2.281026,2.592645,2.161629,2.211533,2.422685,2.184502,2.184502,2.130710,2.130710,2.322775,
30,0.000000,2649.039601,2964.386827,1334.984437,1530.709873,0.000000,0.000000,11668.247187,0.000000,7428.137319,2.136698,2.163537,2.139003,2.139003,2.297278,2.281156,2.598385,2.163804,2.213748,2.430288,2.182564,2.182564,2.130084,2.130084,2.320098,
31,0.000000,2682.177194,2942.440690,1335.586267,1535.719773,0.000000,0.000000,11594.775908,0.000000,7267.426257,2.133523,2.160286,2.137933,2.137933,2.298113,2.277693,2.593863,2.160958,2.212605,2.428644,2.183499,2.183499,2.129408,2.129408,2.320363,
32,0.000000,2690.424514,2929.046971,1334.871391,1502.138569,0.000000,0.000000,11760.073802,0.000000,7276.197569,2.138071,2.164819,2.139435,2.139435,2.299473,2.279179,2.597200,2.163686,2.214376,2.431137,2.182721,2.182721,2.128734,2.128734,2.318884,
33,0.000000,2583.213362,2919.155026,1324.550011,1526.285101,0.000000,0.000000,11687.258992,0.000000,7287.957820,2.134357,2.161032,2.135836,2.135836,2.291365,2.271370,2.597796,2.164524,2.213922,2.425766,2.185547,2.185547,2.130647,2.130647,2.323774,
34,0.000000,2549.097748,2936.901232,1290.585872,1493.309490,0.000000,0.000000,11589.993631,0.000000,7206.099137,2.131182,2.157862,2.133983,2.133983,2.295740,2.273585,2.585109,2.160762,2.209956,2.417832,2.181723,2.181723,2.128290,2.128290,2.317347,
35,0.000000,2598.240498,2865.254449,1316.476382,1471.694067,0.000000,0.000000,11648.177354,0.000000,7166.204722,2.132726,2.159366,2.133118,2.133118,2.303903,2.280651,2.588567,2.156772,2.205667,2.418414,2.184306,2.184306,2.127137,2.127137,2.318757,
36,0.000000,2636.632971,2756.793767,1314.695320,1548.536280,0.000000,0.000000,11532.413266,0.000000,5739.872909,2.131794,2.149170,2.135471,2.135471,2.258627,2.276949,2.585543,2.158858,2.208895,2.409850,2.173891,2.173891,2.128134,2.128134,2.309084,
37,0.000000,2597.025563,2635.713991,1265.020617,1507.039596,0.000000,0.000000,11464.496775,0.000000,5082.121586,2.129185,2.144181,2.129469,2.129469,2.242875,2.270042,2.584419,2.162653,2.210368,2.406228,2.167949,2.167949,2.125631,2.125631,2.300328,
38,0.000000,2599.054743,2609.028412,1286.105762,1522.205103,0.000000,0.000000,11605.473952,0.000000,4872.574528,2.131421,2.145256,2.133966,2.133966,2.237836,2.274364,2.589468,2.159198,2.207674,2.405727,2.170447,2.170447,2.126892,2.126892,2.304235,
39,0.000000,2591.031154,2676.767694,1295.551276,1519.619473,0.000000,0.000000,11348.667621,0.000000,4625.164045,2.129421,2.142208,2.129566,2.129566,2.228500,2.268170,2.579527,2.158318,2.208143,2.403766,2.168739,2.168739,2.124257,2.124257,2.299623,
40,0.000000,2554.890140,2631.420375,1304.349189,1491.718479,0.000000,0.000000,11488.687289,0.000000,4504.991105,2.131203,2.143554,2.128006,2.128006,2.232908,2.276422,2.584240,2.157796,2.207511,2.405168,2.167883,2.167883,2.123614,2.123614,2.298064,
41,0.000000,2542.191522,2563.139377,1287.839293,1530.238956,0.000000,0.000000,11502.077534,0.000000,4399.868979,2.130224,2.141982,2.124296,2.124296,2.228694,2.274592,2.586064,2.156707,2.205521,2.401095,2.170924,2.170924,2.126000,2.126000,2.303769,
42,0.000000,2490.420430,2593.017829,1307.617450,1514.618009,0.000000,0.000000,11406.176859,0.000000,4283.735156,2.132929,2.144460,2.128538,2.128538,2.221536,2.268301,2.574672,2.156768,2.205832,2.399806,2.163837,2.163837,2.123194,2.123194,2.293516,
43,0.000000,2536.602246,2549.040587,1278.159557,1498.006588,0.000000,0.000000,11367.829618,0.000000,4192.462915,2.125587,2.136708,2.127111,2.127111,2.227019,2.274643,2.572581,2.157262,2.205307,2.394158,2.163369,2.163369,2.122566,2.122566,2.292307,
44,0.000000,2536.319481,2572.377711,1280.681772,1509.229890,0.000000,0.000000,11491.538085,0.000000,4166.183711,2.124140,2.134815,2.124465,2.124465,2.229340,2.278917,2.579456,2.158229,2.206982,2.395384,2.168971,2.168971,2.122869,2.122869,2.298483,
45,0.000000,2525.082728,2511.588328,1278.873218,1514.226776,0.000000,0.000000,11415.152551,0.000000,4046.970839,2.128215,2.138568,2.123385,2.123385,2.220751,2.269185,2.578486,2.158750,2.206613,2.398217,2.162937,2.162937,2.125894,2.125894,2.295389,
46,0.000000,2467.772739,2584.551464,1255.625988,1490.169456,0.000000,0.000000,11409.112517,0.000000,4016.722914,2.126628,2.136856,2.120997,2.120997,2.219965,2.269383,2.577260,2.158368,2.205658,2.392835,2.165279,2.165279,2.123027,2.123027,2.294778,
47,0.000000,2487.953513,2582.942681,1250.973974,1533.108852,0.000000,0.000000,11546.541599,0.000000,3908.658269,2.127913,2.137891,2.119456,2.119456,2.227221,2.275361,2.576310,2.157351,2.204800,2.395476,2.163710,2.163710,2.123655,2.123655,2.293873,
48,0.000000,2431.535068,2574.167068,1256.737419,1488.166541,0.000000,0.000000,11368.821439,0.000000,3950.313956,2.127279,2.137318,2.120337,2.120337,2.218804,2.269245,2.569718,2.156875,2.203517,2.389304,2.165112,2.165112,2.119567,2.119567,2.291056,
49,0.000000,2480.169485,2582.949964,1254.993793,1540.663928,0.000000,0.000000,11362.373032,0.000000,3901.160957,2.127178,2.136904,2.120230,2.120230,2.218406,2.268634,2.572783,2.155829,2.203517,2.391422,2.164569,2.164569,2.122728,2.122728,2.293775,
50,0.000000,2384.455280,2530.655573,1270.882942,1525.204322,0.000000,0.000000,11465.497523,0.000000,3762.114656,2.125426,2.135082,2.119700,2.119700,2.218417,2.265881,2.571465,2.157546,2.204536,2.389799,2.161010,2.161010,2.124353,2.124353,2.291821,
51,0.000000,2342.976995,2578.677377,1273.530648,1501.187361,0.000000,0.000000,11476.569122,0.000000,3816.626021,2.124451,2.134135,2.118129,2.118129,2.223306,2.273120,2.569270,2.155682,2.203148,2.386090,2.162642,2.162642,2.122107,2.122107,2.291054,
52,0.000000,2391.151039,2574.436984,1246.664505,1484.869927,0.000000,0.000000,11337.162161,0.000000,3713.667183,2.122910,2.132222,2.117890,2.117890,2.219957,2.267692,2.560729,2.155435,2.201145,2.384317,2.160660,2.160660,2.119657,2.119657,2.286475,
53,0.000000,2431.537286,2567.374927,1240.589590,1484.993110,0.000000,0.000000,11259.881996,0.000000,3750.366351,2.123955,2.133224,2.119732,2.119732,2.215765,2.265056,2.564548,2.161023,2.207329,2.392730,2.157469,2.157469,2.117304,2.117304,2.280710,
54,0.000000,2377.152435,2555.139127,1260.278992,1477.830845,0.000000,0.000000,11235.767461,0.000000,3769.948140,2.123074,2.132232,2.115011,2.115011,2.219979,2.270403,2.566031,2.156726,2.203996,2.389164,2.161292,2.161292,2.116817,2.116817,2.284180,
55,0.000000,2371.734903,2533.532122,1252.784092,1484.523255,0.000000,0.000000,11224.981845,0.000000,3687.136598,2.118974,2.128196,2.111720,2.111720,2.221071,2.269778,2.559332,2.160580,2.207381,2.385102,2.158323,2.158323,2.118817,2.118817,2.283149,
