1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,26106.2879717
10,25746.571278
11,26033.6546846
12,26032.2980326
13,26062.5763997
14,25995.2378015
15,25699.7314668
16,26179.8238446
17,25923.2098529
18,25906.819014
19,26077.0249776
20,26015.9106397
21,26044.2041982
22,26697.0184693
23,26862.0290091
24,27170.0042495
25,27386.1416719
26,27541.3665147
27,27399.5747211
28,27446.5522722
29,27463.9084888
30,27609.0135372
31,27391.6138154
32,27526.2614222
33,27361.908277
34,27099.424478
35,27099.5014159
36,25562.3082772
37,24584.7145063
38,24527.7602897
39,24090.0640631
40,24009.3324517
41,23858.6267484
42,23628.814692
43,23455.3131773
44,23589.5690046
45,23325.113045
46,23257.1554136
47,23343.3887235
48,23102.9146389
49,23155.4946619
50,22971.9803984
51,23022.7335356
52,22781.0790941
53,22767.8766094
54,22709.2490238
55,22587.8040958
56,22490.9510655
57,22565.7420812
58,22379.5174079
59,22500.9183081
60,22423.2619964
61,22346.4851619
62,22475.6016812
63,22119.776298
64,22158.1864312
65,21878.8230266
66,22234.6178891
67,21860.9979137
68,22000.0816451
69,22013.9452231
70,21831.7175773
71,21963.6258388
72,21773.6185456
73,21665.165048
74,21657.1032798
